Time,Centre position X,Centre position Y,In NE,In NW,In SE,In SW,In Island,In Thigmitaxis
0:00:00.000,,,0,1,0,0,0,0
0:00:00.313,584.5,1299.7,0,1,0,0,0,0
0:00:00.413,580.4,1324.3,0,1,0,0,0,0
0:00:00.513,576.3,1348.8,0,1,0,0,0,0
0:00:00.613,568.1,1369.2,0,1,0,0,0,0
0:00:00.646,564.0,1381.5,0,1,0,0,0,1
0:00:00.746,568.1,1401.9,0,1,0,0,0,1
0:00:00.846,568.1,1418.3,0,1,0,0,0,1
0:00:00.946,580.4,1430.5,0,1,0,0,0,1
0:00:01.046,596.7,1434.6,0,1,0,0,0,1
0:00:01.146,600.8,1418.3,0,1,0,0,0,0
0:00:01.246,600.8,1410.1,0,1,0,0,0,0
0:00:01.347,592.6,1397.8,0,1,0,0,0,0
0:00:01.447,572.2,1389.6,0,1,0,0,0,1
0:00:01.580,547.7,1373.3,0,1,0,0,0,1
0:00:01.680,535.4,1369.2,0,1,0,0,0,1
0:00:01.780,519.1,1356.9,0,1,0,0,0,1
0:00:01.880,502.7,1348.8,0,1,0,0,0,1
0:00:01.980,486.4,1336.5,0,1,0,0,0,1
0:00:02.080,461.9,1332.4,0,1,0,0,0,1
0:00:02.180,445.5,1332.4,0,1,0,0,0,1
0:00:02.280,429.2,1332.4,0,1,0,0,0,1
0:00:02.380,421.0,1332.4,0,1,0,0,0,1
0:00:02.480,416.9,1332.4,0,1,0,0,0,1
0:00:02.580,421.0,1328.3,0,1,0,0,0,1
0:00:02.680,421.0,1328.3,0,1,0,0,0,1
0:00:02.780,421.0,1328.3,0,1,0,0,0,1
0:00:02.880,416.9,1332.4,0,1,0,0,0,1
0:00:02.980,421.0,1340.6,0,1,0,0,0,1
0:00:03.080,421.0,1348.8,0,1,0,0,0,1
0:00:03.180,429.2,1356.9,0,1,0,0,0,1
0:00:03.280,453.7,1365.1,0,1,0,0,0,1
0:00:03.380,474.1,1373.3,0,1,0,0,0,1
0:00:03.480,486.4,1373.3,0,1,0,0,0,1
0:00:03.580,502.7,1381.5,0,1,0,0,0,1
0:00:03.680,523.2,1389.6,0,1,0,0,0,1
0:00:03.780,535.4,1397.8,0,1,0,0,0,1
0:00:03.880,555.9,1401.9,0,1,0,0,0,1
0:00:03.980,568.1,1401.9,0,1,0,0,0,1
0:00:04.080,584.5,1393.7,0,1,0,0,0,0
0:00:04.180,592.6,1385.6,0,1,0,0,0,0
0:00:04.280,600.8,1369.2,0,1,0,0,0,0
0:00:04.380,600.8,1356.9,0,1,0,0,0,0
0:00:04.480,604.9,1340.6,0,1,0,0,0,0
0:00:04.580,600.8,1328.3,0,1,0,0,0,0
0:00:04.680,604.9,1316.1,0,1,0,0,0,0
0:00:04.780,604.9,1299.7,0,1,0,0,0,0
0:00:04.880,613.1,1279.3,0,1,0,0,0,0
0:00:04.980,621.3,1267.0,0,1,0,0,0,0
0:00:05.080,629.4,1250.7,0,1,0,0,0,0
0:00:05.180,637.6,1234.3,0,1,0,0,0,0
0:00:05.280,641.7,1226.2,0,1,0,0,0,0
0:00:05.380,637.6,1213.9,0,1,0,0,0,0
0:00:05.480,629.4,1209.8,0,1,0,0,0,0
0:00:05.580,625.3,1205.7,0,1,0,0,0,0
0:00:05.680,613.1,1201.6,0,1,0,0,0,0
0:00:05.780,600.8,1201.6,0,1,0,0,0,0
0:00:05.880,588.6,1205.7,0,1,0,0,0,0
0:00:05.980,584.5,1209.8,0,1,0,0,0,0
0:00:06.080,580.4,1226.2,0,1,0,0,0,0
0:00:06.213,588.6,1246.6,0,1,0,0,0,0
0:00:06.313,596.7,1262.9,0,1,0,0,0,0
0:00:06.413,613.1,1275.2,0,1,0,0,0,0
0:00:06.513,625.3,1283.4,0,1,0,0,0,0
0:00:06.613,645.8,1295.6,0,1,0,0,0,0
0:00:06.713,662.1,1303.8,0,1,0,0,0,0
0:00:06.846,690.7,1316.1,0,1,0,0,0,0
0:00:06.946,711.2,1328.3,0,1,0,0,0,0
0:00:07.046,735.7,1340.6,0,1,0,0,0,0
0:00:07.146,756.1,1352.9,0,1,0,0,0,0
0:00:07.246,780.7,1365.1,0,1,0,0,0,0
0:00:07.346,801.1,1381.5,0,1,0,0,0,0
0:00:07.446,821.5,1397.8,0,1,0,0,0,0
0:00:07.546,837.9,1418.3,0,1,0,0,0,0
0:00:07.646,858.3,1434.6,0,1,0,0,0,0
0:00:07.746,874.7,1446.9,0,1,0,0,0,0
0:00:07.846,903.3,1455.0,0,1,0,0,0,0
0:00:07.946,923.7,1463.2,0,1,0,0,0,0
0:00:08.046,952.3,1463.2,0,1,0,0,0,0
0:00:08.147,972.8,1467.3,0,1,0,0,0,0
0:00:08.247,993.2,1475.5,0,1,0,0,0,0
0:00:08.347,1009.5,1487.7,0,1,0,0,0,0
0:00:08.480,1021.8,1512.3,0,1,0,0,0,0
0:00:08.580,1025.9,1532.7,0,1,0,0,0,0
0:00:08.680,1030.0,1549.0,0,1,0,0,0,0
0:00:08.780,1038.1,1569.5,0,1,0,0,0,0
0:00:08.880,1042.2,1585.8,0,1,0,0,0,0
0:00:08.980,1054.5,1602.2,0,1,0,0,0,0
0:00:09.080,1062.7,1618.5,0,1,0,0,0,0
