Time,Centre position X,Centre position Y,In NE,In NW,In SE,In SW,In Island,In Thigmitaxis
0:00:00.000,,,0,0,0,1,0,0
0:00:00.573,1679.8,1083.1,0,0,0,1,0,0
0:00:00.740,948.2,752.0,1,0,0,0,0,0
0:00:00.840,964.6,764.3,1,0,0,0,0,0
0:00:01.140,1017.7,813.4,1,0,0,0,0,0
0:00:01.240,1030.0,829.7,1,0,0,0,0,0
0:00:01.440,1058.6,858.3,1,0,0,0,0,0
0:00:01.540,1074.9,874.7,1,0,0,0,0,0
0:00:01.740,1095.4,907.4,0,0,1,0,0,0
0:00:01.840,1103.5,923.7,0,0,1,0,0,0
0:00:01.940,1107.6,944.1,0,0,1,0,0,0
0:00:02.040,1111.7,964.6,0,0,1,0,0,0
0:00:02.140,1111.7,989.1,0,0,1,0,0,0
0:00:02.273,1107.6,1013.6,0,0,1,0,0,0
0:00:02.373,1099.5,1030.0,0,0,1,0,0,0
0:00:02.473,1091.3,1046.3,0,0,1,0,0,0
0:00:02.506,1087.2,1050.4,0,0,0,1,0,0
0:00:02.540,1083.1,1054.5,0,1,0,0,0,0
0:00:02.640,1079.0,1062.7,0,1,0,0,0,0
0:00:02.740,1066.8,1070.8,0,1,0,0,0,0
0:00:02.840,1062.7,1079.0,0,1,0,0,0,0
0:00:02.940,1050.4,1087.2,0,1,0,0,0,0
0:00:03.040,1038.1,1095.4,0,1,0,0,0,0
0:00:03.173,1009.5,1103.5,0,1,0,0,0,0
0:00:03.273,989.1,1107.6,0,1,0,0,0,0
0:00:03.373,968.7,1103.5,0,1,0,0,0,0
0:00:03.506,944.1,1103.5,0,1,0,0,0,0
0:00:03.606,927.8,1099.5,0,1,0,0,0,0
0:00:03.706,907.4,1095.4,0,1,0,0,0,0
0:00:03.806,891.0,1087.2,0,1,0,0,0,0
0:00:03.906,870.6,1079.0,0,1,0,0,0,0
0:00:04.006,858.3,1066.8,0,1,0,0,0,0
0:00:04.106,837.9,1054.5,0,1,0,0,0,0
0:00:04.173,829.7,1046.3,1,0,0,0,0,0
0:00:04.273,813.4,1034.1,1,0,0,0,0,0
0:00:04.373,797.0,1017.7,1,0,0,0,0,0
0:00:04.473,780.7,1001.4,1,0,0,0,0,0
0:00:04.573,760.2,989.1,1,0,0,0,0,0
0:00:04.673,739.8,980.9,1,0,0,0,0,0
0:00:04.773,719.3,968.7,1,0,0,0,0,0
0:00:04.873,694.8,960.5,1,0,0,0,0,0
0:00:04.973,678.5,952.3,1,0,0,0,0,0
0:00:05.073,658.0,944.1,1,0,0,0,0,0
0:00:05.173,641.7,936.0,1,0,0,0,0,0
0:00:05.273,621.3,931.9,1,0,0,0,0,0
0:00:05.373,604.9,931.9,1,0,0,0,0,0
0:00:05.473,584.5,936.0,1,0,0,0,0,0
0:00:05.573,564.0,944.1,1,0,0,0,0,0
0:00:05.740,531.3,960.5,1,0,0,0,0,0
0:00:05.840,510.9,968.7,1,0,0,0,0,0
0:00:05.973,486.4,985.0,1,0,0,0,0,0
0:00:06.073,470.0,1001.4,1,0,0,0,0,0
0:00:06.106,461.9,1005.4,1,0,0,0,0,1
0:00:06.206,449.6,1017.7,1,0,0,0,0,1
0:00:06.306,433.2,1034.1,1,0,0,0,0,1
0:00:06.406,425.1,1050.4,0,1,0,0,0,1
0:00:06.506,421.0,1070.8,0,1,0,0,0,1
0:00:06.606,425.1,1095.4,0,1,0,0,0,1
0:00:06.706,433.2,1107.6,0,1,0,0,0,1
0:00:06.806,449.6,1124.0,0,1,0,0,0,1
0:00:06.906,461.9,1132.2,0,1,0,0,0,1
0:00:06.973,478.2,1132.2,0,1,0,0,0,0
0:00:07.073,494.6,1132.2,0,1,0,0,0,0
0:00:07.173,510.9,1128.1,0,1,0,0,0,0
0:00:07.273,523.2,1119.9,0,1,0,0,0,0
0:00:07.373,539.5,1107.6,0,1,0,0,0,0
0:00:07.473,551.8,1091.3,0,1,0,0,0,0
0:00:07.573,564.0,1074.9,0,1,0,0,0,0
0:00:07.673,576.3,1058.6,0,1,0,0,0,0
0:00:07.740,584.5,1046.3,1,0,0,0,0,0
0:00:07.840,596.7,1025.9,1,0,0,0,0,0
0:00:07.940,613.1,1009.5,1,0,0,0,0,0
0:00:08.040,625.3,989.1,1,0,0,0,0,0
0:00:08.140,641.7,972.8,1,0,0,0,0,0
0:00:08.240,654.0,952.3,1,0,0,0,0,0
0:00:08.340,670.3,931.9,1,0,0,0,0,0
0:00:08.440,686.6,911.4,1,0,0,0,0,0
0:00:08.540,698.9,895.1,1,0,0,0,0,0
0:00:08.640,711.2,878.7,1,0,0,0,0,0
0:00:08.740,727.5,866.5,1,0,0,0,0,0
0:00:08.840,739.8,854.2,1,0,0,0,0,0
0:00:08.940,760.2,837.9,1,0,0,0,0,0
0:00:09.040,776.6,825.6,1,0,0,0,0,0
0:00:09.140,797.0,809.3,1,0,0,0,0,0
0:00:09.240,817.4,792.9,1,0,0,0,0,0
0:00:09.340,833.8,772.5,1,0,0,0,0,0
0:00:09.440,854.2,756.1,1,0,0,0,0,0
0:00:09.540,874.7,739.8,1,0,0,0,0,0
0:00:09.640,895.1,723.4,1,0,0,0,0,0
